     -29.9	      48.9
     -23.7	      45.8
     -18.1	      43.1
     -11.3	        40
     -8.22	      38.4
     -5.27	        37
     -0.93	      35.4
      3.41	      32.7
       6.2	      31.7
      12.7	      28.5
      17.8	      25.5
        22	      23.4
      25.9	      21.8
      29.9	      19.7
        33	      18.1
      36.1	      16.6
      39.8	        15
        44	        12
      48.1	        10
      51.6	      7.58
      53.8	      5.99
      56.4	      4.41
      59.2	      2.12
 
