     -29.6	      44.9
       -25	      42.6
     -19.8	      39.6
       -16	        38
     -10.7	      35.4
      -6.2	      32.7
     -2.48	      30.8
      1.55	      29.2
       4.5	      27.5
      7.44	      25.9
      12.1	      23.6
      15.7	      21.8
      19.5	      19.9
      25.4	      17.4
        29	      15.7
      32.7	      13.7
      37.1	      11.6
      40.5	        10
      45.4	      7.04
      48.4	      4.75
      51.9	      2.99
      54.7	     0.874
      56.7	     0.171
