beta_b1,beta_b2,Stagger Angle
-5.412,65,49.45
-3.756,65,48.847
-3.562,65,48.776
-3.492,65,48.751
-2.92,65,48.542
-1.343,65,47.967
0.752,65,47.203
0.789,65,47.189
2.549,65,46.544
5.173,65,45.575
6.353,65,45.135
6.618,65,45.036
7.106,65,44.854
7.533,65,44.693
9.594,65,43.912
10.687,65,43.493
11.822,65,43.054
14.015,65,42.194
14.756,65,41.9
15.738,65,41.507
18.259,65,40.487
18.825,65,40.256
18.92,65,40.217
19.045,65,40.166
20.721,65,39.475
22.68,65,38.658
22.894,65,38.568
26.002,65,37.249
26.786,65,36.913
26.925,65,36.853
26.968,65,36.834
27.96,65,36.404
29.1,65,35.905
30.855,65,35.123
31.346,65,34.901
33.777,65,33.785
34.924,65,33.248
35.59,65,32.934
37.717,65,31.922
38.709,65,31.445
38.816,65,31.394
39.701,65,30.967
39.835,65,30.903
40.515,65,30.574
42.531,65,29.595
44.079,65,28.84
46.247,65,27.78
46.481,65,27.665
47.404,65,27.213
47.485,65,27.173
48.324,65,26.762
51.378,65,25.261
51.816,65,25.045
52.569,65,24.675
55.27,65,23.344
56.637,65,22.671
59.163,65,21.425
59.969,65,21.028
60.099,65,20.964
60.122,65,20.952
60.132,65,20.947
-30.091,60,52.986
-29.945,60,52.93
-29.941,60,52.929
-29.841,60,52.89
-29.824,60,52.884
-29.807,60,52.877
-25.756,60,51.325
-25.42,60,51.196
-21.51,60,49.686
-20.999,60,49.487
-17.441,60,48.087
-17.033,60,47.924
-16.755,60,47.813
-16.047,60,47.529
-14.848,60,47.044
-13.809,60,46.617
-13.549,60,46.51
-12.334,60,46.003
-9.48,60,44.783
-7.913,60,44.093
-6.785,60,43.587
-5.412,60,42.961
-3.756,60,42.193
-3.562,60,42.103
-3.492,60,42.07
-2.92,60,41.8
-1.343,60,41.05
0.752,60,40.037
0.789,60,40.019
2.549,60,39.155
5.173,60,37.854
6.353,60,37.265
6.618,60,37.132
7.106,60,36.889
7.533,60,36.675
9.594,60,35.642
10.687,60,35.095
11.822,60,34.526
14.015,60,33.428
14.756,60,33.057
15.738,60,32.567
18.259,60,31.313
18.825,60,31.032
18.92,60,30.985
19.045,60,30.923
20.721,60,30.097
22.68,60,29.141
22.894,60,29.038
26.002,60,27.554
26.786,60,27.189
26.925,60,27.124
26.968,60,27.104
27.96,60,26.649
29.1,60,26.136
30.855,60,25.363
31.346,60,25.148
33.777,60,24.059
34.924,60,23.522
35.59,60,23.203
37.717,60,22.151
38.709,60,21.643
38.816,60,21.588
39.701,60,21.127
39.835,60,21.057
40.515,60,20.698
42.531,60,19.615
44.079,60,18.772
46.247,60,17.578
46.481,60,17.448
47.404,60,16.935
47.485,60,16.89
48.324,60,16.423
51.378,60,14.711
51.816,60,14.465
52.569,60,14.041
55.27,60,12.515
56.637,60,11.742
59.163,60,10.311
59.969,60,9.854
60.099,60,9.781
60.122,60,9.767
60.132,60,9.762
-30.091,55,48.974
-29.945,55,48.909
-29.941,55,48.907
-29.841,55,48.862
-29.824,55,48.855
-29.807,55,48.847
-25.756,55,47.052
-25.42,55,46.907
-21.51,55,45.248
-20.999,55,45.032
-17.441,55,43.445
-17.033,55,43.245
-16.755,55,43.106
-16.047,55,42.744
-14.848,55,42.118
-13.809,55,41.576
-13.549,55,41.442
-12.334,55,40.832
-9.48,55,39.439
-7.913,55,38.669
-6.785,55,38.112
-5.412,55,37.436
-3.756,55,36.627
-3.562,55,36.533
-3.492,55,36.498
-2.92,55,36.218
-1.343,55,35.433
0.752,55,34.356
0.789,55,34.337
2.549,55,33.43
5.173,55,32.126
6.353,55,31.554
6.618,55,31.427
7.106,55,31.193
7.533,55,30.988
9.594,55,29.983
10.687,55,29.424
11.822,55,28.816
14.015,55,27.617
14.756,55,27.221
15.738,55,26.714
18.259,55,25.485
18.825,55,25.218
18.92,55,25.173
19.045,55,25.114
20.721,55,24.317
22.68,55,23.329
22.894,55,23.214
26.002,55,21.444
26.786,55,21.011
26.925,55,20.937
26.968,55,20.914
27.96,55,20.404
29.1,55,19.846
30.855,55,19.008
31.346,55,18.772
33.777,55,17.577
34.924,55,17.005
35.59,55,16.672
37.717,55,15.588
38.709,55,15.06
38.816,55,15.002
39.701,55,14.509
39.835,55,14.433
40.515,55,14.036
42.531,55,12.799
44.079,55,11.811
46.247,55,10.397
46.481,55,10.241
47.404,55,9.646
47.485,55,9.596
48.324,55,9.077
51.378,55,7.193
51.816,55,6.922
52.569,55,6.458
55.27,55,4.79
56.637,55,3.946
59.163,55,2.387
59.969,55,1.889
60.099,55,1.809
60.122,55,1.795
60.132,55,1.789
