pitch_chord_ratio,exit_flow_angle,K_P_1
1.09869,75,0.057446
0.30222,70,0.058205
0.30225,70,0.058202
0.30316,70,0.058112
0.30326,70,0.058102
0.30518,70,0.05791
0.33256,70,0.055185
0.33737,70,0.054707
0.35111,70,0.053345
0.36641,70,0.051836
0.3766,70,0.050838
0.38831,70,0.049704
0.39409,70,0.049154
0.40215,70,0.048406
0.40685,70,0.04798
0.40691,70,0.047975
0.43531,70,0.045575
0.43789,70,0.045367
0.44423,70,0.044866
0.45191,70,0.044266
0.45322,70,0.044164
0.45481,70,0.044041
0.4752,70,0.042496
0.48,70,0.04214
0.48739,70,0.041598
0.48899,70,0.041481
0.5108,70,0.039944
0.5124,70,0.039837
0.51252,70,0.039829
0.51889,70,0.039415
0.52312,70,0.039152
0.52472,70,0.039057
0.54654,70,0.03796
0.54815,70,0.037881
0.54984,70,0.037794
0.55623,70,0.037451
0.5573,70,0.037392
0.56046,70,0.037217
0.5823,70,0.036066
0.58546,70,0.035923
0.58562,70,0.035916
0.59304,70,0.035621
0.59514,70,0.035547
0.5962,70,0.035511
0.61804,70,0.034887
0.62123,70,0.034797
0.62451,70,0.0347
0.63034,70,0.03452
0.63249,70,0.034452
0.63351,70,0.034419
0.65535,70,0.033754
0.65855,70,0.03367
0.66186,70,0.03359
0.66765,70,0.033464
0.67082,70,0.033404
0.67141,70,0.033393
0.69267,70,0.033122
0.69589,70,0.033097
0.69921,70,0.033074
0.70341,70,0.033051
0.70813,70,0.033032
0.70879,70,0.03303
0.72533,70,0.033028
0.7348,70,0.033076
0.73658,70,0.03309
0.74073,70,0.033127
0.74545,70,0.033178
0.74617,70,0.033187
0.76111,70,0.033408
0.77216,70,0.03361
0.77395,70,0.033645
0.77805,70,0.033727
0.78043,70,0.033775
0.78279,70,0.033824
0.80001,70,0.0342
0.80953,70,0.034421
0.80978,70,0.034427
0.81538,70,0.034563
0.81626,70,0.034584
0.82169,70,0.034722
0.83892,70,0.035226
0.8456,70,0.035461
0.8469,70,0.035509
0.85055,70,0.035652
0.85272,70,0.035741
0.86059,70,0.036081
0.87784,70,0.036866
0.88144,70,0.037027
0.88429,70,0.037151
0.8864,70,0.037241
0.89162,70,0.037458
0.89951,70,0.037781
0.91187,70,0.038311
0.91521,70,0.038467
0.91728,70,0.038568
0.92167,70,0.038793
0.93532,70,0.03959
0.95077,70,0.040574
0.95156,70,0.040624
0.95258,70,0.040688
0.95752,70,0.040989
0.97269,70,0.04184
0.98814,70,0.042766
0.98997,70,0.042891
0.99024,70,0.04291
1.01007,70,0.044476
1.02425,70,0.045638
1.02454,70,0.045661
1.0255,70,0.045736
1.0459,70,0.047212
1.05699,70,0.048
1.05883,70,0.048135
1.06132,70,0.04832
1.0802,70,0.049813
1.09129,70,0.050732
1.09313,70,0.050885
1.09869,70,0.051349
0.30222,65,0.058049
0.30225,65,0.058045
0.30316,65,0.057932
0.30326,65,0.057919
0.30518,65,0.057678
0.33256,65,0.054349
0.33737,65,0.053786
0.35111,65,0.052207
0.36641,65,0.050509
0.3766,65,0.049419
0.38831,65,0.048215
0.39409,65,0.047643
0.40215,65,0.04687
0.40685,65,0.046431
0.40691,65,0.046426
0.43531,65,0.043943
0.43789,65,0.043729
0.44423,65,0.043214
0.45191,65,0.042601
0.45322,65,0.042497
0.45481,65,0.042372
0.4752,65,0.040809
0.48,65,0.04045
0.48739,65,0.0399
0.48899,65,0.039782
0.5108,65,0.038177
0.5124,65,0.03806
0.51252,65,0.03805
0.51889,65,0.037579
0.52312,65,0.037266
0.52472,65,0.037149
0.54654,65,0.035667
0.54815,65,0.035572
0.54984,65,0.035475
0.55623,65,0.035123
0.5573,65,0.035066
0.56046,65,0.034898
0.5823,65,0.03371
0.58546,65,0.03352
0.58562,65,0.03351
0.59304,65,0.033043
0.59514,65,0.032907
0.5962,65,0.032838
0.61804,65,0.031476
0.62123,65,0.031301
0.62451,65,0.03113
0.63034,65,0.030844
0.63249,65,0.030743
0.63351,65,0.030697
0.65535,65,0.029795
0.65855,65,0.029673
0.66186,65,0.029547
0.66765,65,0.029328
0.67082,65,0.029209
0.67141,65,0.029187
0.69267,65,0.028391
0.69589,65,0.028269
0.69921,65,0.028142
0.70341,65,0.027983
0.70813,65,0.027808
0.70879,65,0.027785
0.72533,65,0.027267
0.7348,65,0.027057
0.73658,65,0.027024
0.74073,65,0.026953
0.74545,65,0.026882
0.74617,65,0.026872
0.76111,65,0.026694
0.77216,65,0.02659
0.77395,65,0.026575
0.77805,65,0.026541
0.78043,65,0.026523
0.78279,65,0.026505
0.80001,65,0.026397
0.80953,65,0.026354
0.80978,65,0.026353
0.81538,65,0.026336
0.81626,65,0.026334
0.82169,65,0.026327
0.83892,65,0.026377
0.8456,65,0.026431
0.8469,65,0.026444
0.85055,65,0.026483
0.85272,65,0.026509
0.86059,65,0.026617
0.87784,65,0.02691
0.88144,65,0.026979
0.88429,65,0.027034
0.8864,65,0.027076
0.89162,65,0.027183
0.89951,65,0.027353
0.91187,65,0.02764
0.91521,65,0.027721
0.91728,65,0.027772
0.92167,65,0.027884
0.93532,65,0.028257
0.95077,65,0.028746
0.95156,65,0.028773
0.95258,65,0.028809
0.95752,65,0.028988
0.97269,65,0.029604
0.98814,65,0.030353
0.98997,65,0.030451
0.99024,65,0.030466
1.01007,65,0.031667
1.02425,65,0.032648
1.02454,65,0.032668
1.0255,65,0.032738
1.0459,65,0.034259
1.05699,65,0.035123
1.05883,65,0.035268
1.06132,65,0.035465
1.0802,65,0.036977
1.09129,65,0.037873
1.09313,65,0.038022
1.09869,65,0.038472
0.30222,60,0.056807
0.30225,60,0.056803
0.30316,60,0.056697
0.30326,60,0.056685
0.30518,60,0.056459
0.33256,60,0.053234
0.33737,60,0.052663
0.35111,60,0.051026
0.36641,60,0.049194
0.3766,60,0.047983
0.38831,60,0.046616
0.39409,60,0.045955
0.40215,60,0.045055
0.40685,60,0.044543
0.40691,60,0.044537
0.43531,60,0.041677
0.43789,60,0.041433
0.44423,60,0.040841
0.45191,60,0.040134
0.45322,60,0.040014
0.45481,60,0.039868
0.4752,60,0.038007
0.48,60,0.03758
0.48739,60,0.03694
0.48899,60,0.036804
0.5108,60,0.035053
0.5124,60,0.034931
0.51252,60,0.034922
0.51889,60,0.034444
0.52312,60,0.034133
0.52472,60,0.034017
0.54654,60,0.032484
0.54815,60,0.032373
0.54984,60,0.032255
0.55623,60,0.031807
0.5573,60,0.031732
0.56046,60,0.031506
0.5823,60,0.029926
0.58546,60,0.029705
0.58562,60,0.029694
0.59304,60,0.029197
0.59514,60,0.029062
0.5962,60,0.028996
0.61804,60,0.02778
0.62123,60,0.027622
0.62451,60,0.027462
0.63034,60,0.027185
0.63249,60,0.027085
0.63351,60,0.027038
0.65535,60,0.02605
0.65855,60,0.025908
0.66186,60,0.02576
0.66765,60,0.0255
0.67082,60,0.025357
0.67141,60,0.02533
0.69267,60,0.024361
0.69589,60,0.024215
0.69921,60,0.024067
0.70341,60,0.023882
0.70813,60,0.023676
0.70879,60,0.023649
0.72533,60,0.022975
0.7348,60,0.022627
0.73658,60,0.022564
0.74073,60,0.022424
0.74545,60,0.022273
0.74617,60,0.022251
0.76111,60,0.021839
0.77216,60,0.0216
0.77395,60,0.021566
0.77805,60,0.021495
0.78043,60,0.021457
0.78279,60,0.021422
0.80001,60,0.021236
0.80953,60,0.021175
0.80978,60,0.021173
0.81538,60,0.021147
0.81626,60,0.021144
0.82169,60,0.021125
0.83892,60,0.021094
0.8456,60,0.021093
0.8469,60,0.021093
0.85055,60,0.021094
0.85272,60,0.021096
0.86059,60,0.021105
0.87784,60,0.021153
0.88144,60,0.021172
0.88429,60,0.021191
0.8864,60,0.021207
0.89162,60,0.021256
0.89951,60,0.021361
0.91187,60,0.02161
0.91521,60,0.02169
0.91728,60,0.02174
0.92167,60,0.02185
0.93532,60,0.022173
0.95077,60,0.022463
0.95156,60,0.022477
0.95258,60,0.022496
0.95752,60,0.022593
0.97269,60,0.022984
0.98814,60,0.023598
0.98997,60,0.023681
0.99024,60,0.023693
1.01007,60,0.024626
1.02425,60,0.025235
1.02454,60,0.025247
1.0255,60,0.025288
1.0459,60,0.026268
1.05699,60,0.026973
1.05883,60,0.027101
1.06132,60,0.02728
1.0802,60,0.028742
1.09129,60,0.029619
1.09313,60,0.029761
1.09869,60,0.030177
0.30222,50,0.055019
0.30225,50,0.055014
0.30316,50,0.054888
0.30326,50,0.054874
0.30518,50,0.054606
0.33256,50,0.050942
0.33737,50,0.050335
0.35111,50,0.048652
0.36641,50,0.046861
0.3766,50,0.045717
0.38831,50,0.044454
0.39409,50,0.043852
0.40215,50,0.043038
0.40685,50,0.042575
0.40691,50,0.042569
0.43531,50,0.039883
0.43789,50,0.039642
0.44423,50,0.039054
0.45191,50,0.038332
0.45322,50,0.038207
0.45481,50,0.038054
0.4752,50,0.03602
0.48,50,0.035548
0.48739,50,0.034867
0.48899,50,0.034729
0.5108,50,0.03302
0.5124,50,0.0329
0.51252,50,0.03289
0.51889,50,0.032407
0.52312,50,0.032079
0.52472,50,0.031953
0.54654,50,0.03016
0.54815,50,0.030028
0.54984,50,0.029889
0.55623,50,0.029377
0.5573,50,0.029293
0.56046,50,0.029049
0.5823,50,0.027488
0.58546,50,0.027277
0.58562,50,0.027266
0.59304,50,0.026782
0.59514,50,0.026648
0.5962,50,0.02658
0.61804,50,0.025249
0.62123,50,0.025064
0.62451,50,0.024876
0.63034,50,0.024548
0.63249,50,0.024428
0.63351,50,0.024373
0.65535,50,0.023214
0.65855,50,0.02305
0.66186,50,0.022882
0.66765,50,0.02259
0.67082,50,0.022432
0.67141,50,0.022402
0.69267,50,0.021382
0.69589,50,0.021237
0.69921,50,0.021091
0.70341,50,0.02091
0.70813,50,0.020714
0.70879,50,0.020687
0.72533,50,0.020049
0.7348,50,0.019711
0.73658,50,0.019648
0.74073,50,0.019506
0.74545,50,0.019347
0.74617,50,0.019324
0.76111,50,0.01885
0.77216,50,0.018534
0.77395,50,0.018486
0.77805,50,0.018379
0.78043,50,0.01832
0.78279,50,0.018262
0.80001,50,0.017872
