T_3_od,rho_3_od,P_3_od,alpha_3_od,flow_coeff_2_od,incidence_2,v_2_od,alpha_3_od,C_w_3_od,C_a_3_od,U_mean_od,flow_coeff_3_od,work_od_cw,work_od_vw,M_2_rel_od,M_3_rel_od,eta_final,eta_final_new,eta_final_od,eta_tt_od_new
1019.0784398676525,1.5731358062071161,460.1037007466835,25.41777622321962,0.5920013394559949,3.8674615185801855,275.26868716127063,25.41777622321962,119.87409769226929,252.25225225225225,327.5244397476317,0.7701784100344417,210529.25988970257,210529.25988970257,0.42232462869741255,0.8224718781169249,86.28189826707506,85.98712323418205,77.9844502688938,79.81926127168121
1019.0784398676525,1.5731358062071161,460.1037007466835,25.41777622321962,0.5920013394559949,3.8674615185801855,275.26868716127063,25.41777622321962,119.87409769226929,252.25225225225225,327.5244397476317,0.7701784100344417,210529.25988970257,210529.25988970257,0.42232462869741255,0.8224718781169249,86.45651638026274,86.1624086273787,77.70844701594255,79.67578212262544
1019.0784398676525,1.5731358062071161,460.1037007466835,25.41777622321962,0.5820672240681926,3.876014828563939,272.98662623306126,25.41777622321962,119.87409769226929,252.25225225225225,327.5244397476317,0.7701784100344417,210529.25988970257,210529.25988970257,0.41764381744867096,0.8224718781169249,86.20181991986453,85.89876860333241,77.8094781499474,79.62604356501352
1019.0784398676525,1.5731358062071161,460.1037007466835,25.41777622321962,0.5820672240681926,3.876014828563939,272.98662623306126,25.41777622321962,119.87409769226929,252.25225225225225,327.5244397476317,0.7701784100344417,210529.25988970257,210529.25988970257,0.41764381744867096,0.8224718781169249,86.37618923617573,86.07581262801361,77.52661759191028,79.48411058157346
1018.5045316140621,1.5704794759740393,459.06811290580725,28.13889404197708,0.5720360669300556,4.2738685641483585,262.0815763256827,28.13889404197708,132.8223975343043,248.34834834834834,327.5244397476317,0.7582589822600991,210797.2655886435,210797.2655886435,0.40096011855970953,0.8378450432307263,86.52649913251939,86.25166031758027,78.84549132214468,80.83428993275248
1018.5045316140621,1.5704794759740393,459.06811290580725,28.13889404197708,0.5720360669300556,4.2738685641483585,262.0815763256827,28.13889404197708,132.8223975343043,248.34834834834834,327.5244397476317,0.7582589822600991,210797.2655886435,210797.2655886435,0.40096011855970953,0.8378450432307263,86.70993348252087,86.43928895017251,78.82823077446578,80.63692261549129
1018.5045316140621,1.5704794759740393,459.06811290580725,28.13889404197708,0.5720360669300556,4.2738685641483585,262.0815763256827,28.13889404197708,132.8223975343043,248.34834834834834,327.5244397476317,0.7582589822600991,210797.2655886435,210797.2655886435,0.40096011855970953,0.8378450432307263,86.86157961793818,86.58679076679856,78.65653024464552,80.46276270217754
1018.5045316140621,1.5704794759740393,459.06811290580725,28.13889404197708,0.5720360669300556,4.2738685641483585,262.0815763256827,28.13889404197708,132.8223975343043,248.34834834834834,327.5244397476317,0.7582589822600991,210797.2655886435,210797.2655886435,0.40096011855970953,0.8378450432307263,86.9918927123529,86.7177984194269,78.41653557601626,80.35770988917035
1018.5045316140621,1.5704794759740393,459.06811290580725,28.13889404197708,0.5720360669300556,4.2738685641483585,262.0815763256827,28.13889404197708,132.8223975343043,248.34834834834834,327.5244397476317,0.7582589822600991,210797.2655886435,210797.2655886435,0.40096011855970953,0.8378450432307263,87.09750179089916,86.8212254350787,78.26811616646069,80.25964731091894
1016.9624543254943,1.5633567979243876,456.2941727004421,22.435077326105638,0.6022279757986728,3.585311200586027,284.3494715730252,22.435077326105638,109.8551289507813,266.06606606606607,327.5244397476317,0.812354846774423,210334.49001732495,210334.49001732495,0.4340779069249534,0.8206626740618288,85.8534666526305,85.5205663783594,75.20975042413086,77.29715660725832
1016.9624543254943,1.5633567979243876,456.2941727004421,22.435077326105638,0.5921067341159006,3.590169666066288,282.0600978585013,22.435077326105638,109.8551289507813,266.06606606606607,327.5244397476317,0.812354846774423,210334.49001732495,210334.49001732495,0.4293684213500864,0.8206626740618288,85.76298209472161,85.42308140155757,74.97766668012443,77.05319463108555
1016.315997433642,1.5603773057343453,455.1350519230131,25.207774819377647,0.6035974570233291,3.9563794233546545,275.5747596072505,25.207774819377647,123.690324591852,262.7627627627628,327.5244397476317,0.8022691771192102,210664.25465827892,210664.25465827892,0.4218795491286077,0.8372783504088931,86.31242397233974,86.01949550465207,76.83446930861226,79.01384759403834
1016.315997433642,1.5603773057343453,455.1350519230131,25.207774819377647,0.6035974570233291,3.9563794233546545,275.5747596072505,25.207774819377647,123.690324591852,262.7627627627628,327.5244397476317,0.8022691771192102,210664.25465827892,210664.25465827892,0.4218795491286077,0.8372783504088931,86.49847756342872,86.20855386298126,76.61595256812262,78.65162162244918
1016.315997433642,1.5603773057343453,455.1350519230131,25.207774819377647,0.6035974570233291,3.9563794233546545,275.5747596072505,25.207774819377647,123.690324591852,262.7627627627628,327.5244397476317,0.8022691771192102,210664.25465827892,210664.25465827892,0.4218795491286077,0.8372783504088931,86.65994761083192,86.36126941733306,76.27623798809542,78.43701340583887
1016.315997433642,1.5603773057343453,455.1350519230131,25.207774819377647,0.5933960517906671,3.9690113058732663,273.187746582432,25.207774819377647,123.690324591852,262.7627627627628,327.5244397476317,0.8022691771192102,210664.25465827892,210664.25465827892,0.41703880994761167,0.8372783504088931,86.23224392841153,85.93229315967054,76.64625869761639,78.80421681251855
