eta_tt,eta_final,eta_final_od,eta_final_od_new,eta_final_opt,delta_eta_optimize,delta_eta_optimize_normalized,eta_opt,eta_opt_normalized,func_optimize
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8681433259042217,1.1289900579278425,0.017604066624112957,1.0,1.1289900579278425,0.5705122841839552,0.758075043543712
90.27776946950088,0.8864811877347312,0.8670941816656534,0.8690770196125814,1.1280555231581948,0.017404168122149732,0.9605516424834989,1.1280555231581948,0.5228346621384776,0.7311143232222208
90.33718595875517,0.8870646270495777,0.8678335023559645,0.8698197269179172,1.1273135795370977,0.017244900131660468,0.9291213887894963,1.1273135795370977,0.4849825578673234,0.7096874307749585
90.38698930243515,0.887553670227295,0.8684534279055945,0.8704424944002745,1.1266924283507367,0.017111175827020486,0.9027319755308918,1.1266924283507367,0.45329298091602005,0.6917337173427163
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8681762153063081,1.1289900579278425,0.017571177222026613,0.9935095416960915,1.1289900579278425,0.5705122841839552,0.7567769518829303
90.27776946950088,0.8864811877347312,0.8670941816656534,0.8691099797995796,1.1280555231581948,0.017371207935151567,0.954047215348004,1.1280555231581948,0.5228346621384776,0.7298134377951218
90.33718595875517,0.8870646270495777,0.8678335023559645,0.8698527434651604,1.1273135795370977,0.017211883584417276,0.9226058394140964,1.1273135795370977,0.4849825578673234,0.7083843208998785
90.38698930243515,0.887553670227295,0.8684534279055945,0.870475558243257,1.1266924283507367,0.01707811198403808,0.8962070927227187,1.1266924283507367,0.45329298091602005,0.6904287407810816
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8682486739357413,1.1289900579278425,0.017498718592593332,0.9792104154346771,1.1289900579278425,0.5705122841839552,0.7539171266306474
90.27776946950088,0.8864811877347312,0.8670941816656534,0.869182594384703,1.1280555231581948,0.017298593350028146,0.9397173124886615,1.1280555231581948,0.5228346621384776,0.7269474572232533
90.33718595875517,0.8870646270495777,0.8678335023559645,0.8699254822250856,1.1273135795370977,0.01713914482449208,0.908251431658885,1.1273135795370977,0.4849825578673234,0.7055134393488363
90.38698930243515,0.887553670227295,0.8684534279055945,0.8705484012067737,1.1266924283507367,0.017005269020521352,0.8818321212289454,1.1266924283507367,0.45329298091602005,0.6875537464823269
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8683919048237453,1.1289900579278425,0.01735548770458939,0.9509449546038355,1.1289900579278425,0.5705122841839552,0.7482640344644791
90.27776946950088,0.8864811877347312,0.8670941816656534,0.8693261335927961,1.1280555231581948,0.017155054141935078,0.9113910071743149,1.1280555231581948,0.5228346621384776,0.7212821961603839
90.33718595875517,0.8870646270495777,0.8678335023559645,0.870069266923419,1.1273135795370977,0.016995360126158654,0.8798766808250705,1.1273135795370977,0.4849825578673234,0.6998384891820734
90.38698930243515,0.887553670227295,0.8684534279055945,0.870692391912862,1.1266924283507367,0.01686127831443307,0.8534167164258171,1.1266924283507367,0.45329298091602005,0.6818706655217013
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8685845638638269,1.1289900579278425,0.0171628286645078,0.9129252465155647,1.1289900579278425,0.5705122841839552,0.7406600928468249
90.27776946950088,0.8864811877347312,0.8670941816656534,0.8695192074327908,1.1280555231581948,0.016961980301940405,0.873289441667862,1.1280555231581948,0.5228346621384776,0.7136618830590934
90.33718595875517,0.8870646270495777,0.8678335023559645,0.8702626710350723,1.1273135795370977,0.016801956014505404,0.8417099388698841,1.1273135795370977,0.4849825578673234,0.692205140791036
90.38698930243515,0.887553670227295,0.8684534279055945,0.8708860731783197,1.1266924283507367,0.016667597048975358,0.8151952804021003,1.1266924283507367,0.45329298091602005,0.674226378316958
90.20304098637293,0.8857473925283347,0.8661647413463801,0.8688047399545078,1.1289900579278425,0.016942652573826877,0.8694752703703481,1.1289900579278425,0.5705122841839552,0.7319700976177816
90.27776946950088,0.8864811877347312,0.8670941816656534,0.8697398576811589,1.1280555231581948,0.016741330053572256,0.8297458943263577,1.1280555231581948,0.5228346621384776,0.7049531735907926
90.33718595875517,0.8870646270495777,0.8678335023559645,0.8704836988171596,1.1273135795370977,0.01658092823241808,0.7980918882930762,1.1273135795370977,0.4849825578673234,0.6834815306756745
90.38698930243515,0.887553670227295,0.8684534279055945,0.8711074177752544,1.1266924283507367,0.016446252452040677,0.7715147089697467,1.1266924283507367,0.45329298091602005,0.6654902640304873
90.18196216838248,0.8857993061255661,0.8662350620689128,0.8682505693368828,1.1289238917717614,0.017548736788683295,0.9890811031202222,1.1289238917717614,0.567136652710102,0.7960994531366568
90.22468027047019,0.886218898517198,0.866638523520636,0.8686532921925818,1.1283893873998603,0.017565606324616234,0.9924101700120916,1.1283893873998603,0.5398675790995321,0.7040394552526208
90.25265864171797,0.8864937120302544,0.8671146392577961,0.86913424647729,1.128039586101285,0.017359465552964415,0.9517299509059753,1.128039586101285,0.5220215934324888,0.7705831989827621
90.29544376207033,0.8869139626991172,0.8675189206681841,0.8695377896970541,1.1275050817293841,0.017376173002063067,0.9550270312680564,1.1275050817293841,0.4947525198219302,0.6785168037927729
90.30946321100465,0.8870516667126437,0.8678216738015341,0.8698445797309938,1.1273300502392782,0.017207086981649855,0.9216592685344973,1.1273300502392782,0.48582285181774054,0.750089565862567
90.35230221856673,0.8874724466808456,0.8682266149267711,0.8702487829959987,1.126795545867377,0.017223663684846846,0.9249305472471319,1.126795545867377,0.4585537782071706,0.6580180103426843
