K_p_stator,K_s_stator,K_TET_stator,K_stator,K_p_rotor,K_s_rotor,K_TET_rotor,K_rotor,eta_tt,delta_n,eta_final
0.030261267932686603,0.09772007383549662,0.04200458755482592,0.16998592932300913,0.03542638901391405,0.08680861659168124,0.010683197524609759,0.13291820313020505,88.20534144093467,1.7107322198461732,86.4946092210885
0.030316714986898013,0.09792630090368508,0.04313900461711387,0.17138202050769696,0.03591125475765523,0.08810655140957845,0.010660531951632019,0.1346783381188657,88.10494924406818,1.7087851249991377,86.39616411906904
0.030372137743376073,0.09812197081683292,0.04425360693441132,0.1727477154946203,0.03641454199750134,0.08942590152994047,0.010641750445545675,0.1364821939729875,88.00412948460591,1.70682973762586,86.29729974698004
0.030428290917229792,0.09812197081683292,0.041122296359414966,0.1696725580934777,0.03675420330370407,0.08942590152994047,0.009977176388091293,0.13615728122173582,88.12405943189059,1.6642579652174159,86.45980146667317
0.030089812055517775,0.09767415282093957,0.0425953715656431,0.17035933644210044,0.0336595946190219,0.08223002155543133,0.010368563485735468,0.1262581796601887,88.51213456745252,1.7592389400171122,86.75289562743541
0.03014827471295144,0.09767415282093957,0.03966830771838916,0.16749073525228017,0.0339094921495217,0.08223002155543133,0.009675841963288646,0.12581535566824167,88.62705801578551,1.7152496844780607,86.91180833130744
0.030208134596878104,0.09767415282093957,0.03764594658462868,0.16552823400244637,0.03419223581035464,0.08223002155543133,0.00904105290372262,0.12546331026950858,88.70750644644103,1.6752657692694632,87.03224067717157
0.030147615689647207,0.0978748873127284,0.043715420237749006,0.1717379232401246,0.03413523977146174,0.08333487938975476,0.01033664500532945,0.12780676416654596,88.41925771531307,1.7573929493435352,86.66186476596953
0.03020560054202887,0.0978748873127284,0.040589645133452874,0.16867013298821015,0.03437217568742635,0.08333487938975476,0.009652861995018197,0.1273599170721993,88.54089277926973,1.713582079820346,86.82731069944938
0.030264948611052323,0.0978748873127284,0.03842374717011129,0.16656358309389202,0.03464237006247551,0.08333487938975476,0.009017199330986074,0.12699444878321633,88.62658072969695,1.673737464748844,86.95284326494811
0.030205369475451545,0.09806537497716226,0.044816524961721685,0.1730872694143355,0.034626097413970554,0.08445663238087017,0.010304733993076059,0.12938746378791677,88.32620250015461,1.7555434135835124,86.5706590865711
0.03026285513761438,0.09806537497716226,0.04171012770230997,0.17003835781708662,0.03485025164605648,0.08445663238087017,0.009630546086844747,0.1289374301137714,88.44691612510569,1.711763296369648,86.73515282873603
0.030321671052750118,0.09806537497716226,0.03919299610767212,0.1675800421375845,0.03510811539403091,0.08445663238087017,0.008994113071251343,0.12855886084615242,88.5450144036305,1.6721970621441706,86.87281734148634
0.029944394441706955,0.09765473993460484,0.04334848227596665,0.17094761665227845,0.03219140704555423,0.07792450687472778,0.010052353249983157,0.12016826717026517,88.81006378771488,1.8097873207309059,87.00027646698398
0.03000451500041156,0.09765473993460484,0.040255165733548495,0.16791442066856488,0.032342757585637746,0.07792450687472778,0.009344171655007252,0.11961143611537278,88.93219817126592,1.7646695275196833,87.16752864374624
0.03000423661664571,0.09784889785162701,0.04445345451604083,0.17230658898431356,0.032646909334676844,0.07885705522677836,0.010023454759314206,0.12152741932076941,88.72437384190883,1.8080411157309342,86.9163327261779
0.030063821688628815,0.09784889785162701,0.04132865246169867,0.1692413720019545,0.03278603003087998,0.07885705522677836,0.009316652329694529,0.12095973758735287,88.84760529388845,1.76299096254521,87.08461433134323
0.030612706793084157,0.09818075656078414,0.06010276392358067,0.18889622727744895,0.040913116250414355,0.10012823449490911,0.016077003507633403,0.1571183542529569,86.63748196576887,1.9323856731489755,84.7050962926199
0.030671097950147035,0.09818075656078414,0.0546004282174541,0.18345228272838526,0.04135910127130298,0.10012823449490911,0.014208129376578423,0.1556954651427905,86.875656550834,1.8554372979252711,85.02021925290872
0.03066102325491585,0.0983750829487359,0.06150136581330812,0.19053747201695986,0.04154192677471277,0.10192399724837625,0.01603072007947137,0.1594966441025604,86.5115951663767,1.929577860155517,84.58201730622118
0.03071902985249616,0.0983750829487359,0.055994769854743213,0.18508888265597528,0.0419705881611121,0.10192399724837625,0.014173145681957837,0.1580677310914462,86.74926103276711,1.852737819523348,84.89652321324377
0.03048341484290374,0.09818019796221288,0.06113655290544536,0.189800165710562,0.03950671564928121,0.09529079041053112,0.015148037596147836,0.14994554365596016,86.933355539115,1.9883538014155098,84.94500173769949
0.03054380090907438,0.09818019796221288,0.05564632677510711,0.18437032564639438,0.03980557513058661,0.09529079041053112,0.013433640510685988,0.14853000605180372,87.16732790321618,1.9090669051507454,85.25826099806542
0.03060578866076781,0.09818019796221288,0.050802319848452966,0.17958830647143365,0.040149334485752926,0.09529079041053112,0.011967880436241814,0.14740800533252585,87.37041706208817,1.8411011305457423,85.52931593154243
0.03066943137527296,0.09818019796221288,0.04733347050088175,0.17618309983836758,0.04053746254803353,0.09529079041053112,0.01079204101574551,0.14662029397431017,87.51524831368037,1.7814144418773217,85.73383387180306
0.030734785735250743,0.09818019796221288,0.04394775640036602,0.17286274009782965,0.0409695836087916,0.09529079041053112,0.009857232335227959,0.14611760635455068,87.64833284436693,1.7291717261239188,85.91916111824301
0.029779392493743374,0.09733388330938846,0.04014296949982321,0.16725624530295505,0.0340286719797975,0.08551279695227232,0.011453697565379629,0.13099516649744944,88.29447964446669,1.6972279791607328,86.59725166530596
0.0298435427733165,0.09755625986116755,0.04119685028223037,0.16859665291671444,0.03449023098920104,0.08678546309274056,0.011451490760889157,0.13272718484283075,88.1966056328752,1.695346610001815,86.50125902287338
