AN_sqared,U_hub,A2,N,omega,r_hub,r_tip,H
10000000.0,167.5,14.982452395885403,816.9745856526204,85.55337854852792,1.9578420261333105,2.9329521162443366,0.9751100901110261
10000000.0,167.5,14.779939278162471,822.5525917335165,86.13750597937533,1.9445652401418032,2.9130627804087887,0.9684975402669855
10000000.0,167.5,14.984068818837759,816.9305184468337,85.54876384152912,1.957947636862149,2.9331103267672027,0.9751626899050538
10000000.0,167.5,15.192191900127305,811.3155150720772,84.96076206312857,1.97149832384439,2.9534099809428875,0.9819116570984976
10000000.0,176.31578947368422,14.982452395885403,816.9745856526204,85.55337854852792,2.060886343298222,3.0027179749156363,0.9418316316174145
10000000.0,176.31578947368422,14.779939278162471,822.5525917335165,86.13750597937533,2.046910779096635,2.982355533302029,0.9354447542053936
10000000.0,176.31578947368422,14.984068818837759,816.9305184468337,85.54876384152912,2.060997512486473,3.002879948777467,0.9418824362909941
10000000.0,176.31578947368422,15.192191900127305,811.3155150720772,84.96076206312857,2.0752613935204103,3.0236624689353313,0.948401075414921
10000000.0,185.1315789473684,14.982452395885403,816.9745856526204,85.55337854852792,2.1639306604631328,3.0743549925440874,0.9104243320809546
10000000.0,185.1315789473684,14.779939278162471,822.5525917335165,86.13750597937533,2.1492563180514663,3.0535067561935048,0.9042504381420384
10000000.0,185.1315789473684,14.984068818837759,816.9305184468337,85.54876384152912,2.164047388110796,3.074520830679716,0.9104734425689198
10000000.0,185.1315789473684,15.192191900127305,811.3155150720772,84.96076206312857,2.1790244631964306,3.0957991675527534,0.9167747043563228
10000000.0,193.94736842105263,14.982452395885403,816.9745856526204,85.55337854852792,2.2669749776280437,3.1477354186907154,0.8807604410626717
10000000.0,193.94736842105263,14.779939278162471,822.5525917335165,86.13750597937533,2.2516018570062983,3.1263895649629854,0.874787707956687
10000000.0,193.94736842105263,14.984068818837759,816.9305184468337,85.54876384152912,2.2670972637351197,3.1479052151438105,0.8808079514086908
10000000.0,193.94736842105263,15.192191900127305,811.3155150720772,84.96076206312857,2.2827875328724514,3.169691435274059,0.8869039024016074
10000000.0,202.76315789473685,14.982452395885403,816.9745856526204,85.55337854852792,2.370019294792955,3.2227401655391392,0.8527208707461842
10000000.0,202.76315789473685,14.779939278162471,822.5525917335165,86.13750597937533,2.3539473959611303,3.200885679368668,0.8469382834075376
10000000.0,202.76315789473685,14.984068818837759,816.9305184468337,85.54876384152912,2.3701471393594433,3.2229140079294836,0.8527668685700402
10000000.0,202.76315789473685,15.192191900127305,811.3155150720772,84.96076206312857,2.386550602548472,3.245219353624082,0.8586687510756099
10000000.0,211.57894736842104,14.982452395885403,816.9745856526204,85.55337854852792,2.473063611957866,3.299258453907246,0.8261948419493801
10000000.0,211.57894736842104,14.779939278162471,822.5525917335165,86.13750597937533,2.456292934915962,3.2768850714593736,0.8205921365434117
10000000.0,211.57894736842104,14.984068818837759,816.9305184468337,85.54876384152912,2.473197014983767,3.299436423878925,0.8262394088951579
10000000.0,211.57894736842104,15.192191900127305,811.3155150720772,84.96076206312857,2.490313672224492,3.3222713707161344,0.8319576984916424
10000000.0,220.39473684210526,14.982452395885403,816.9745856526204,85.55337854852792,2.576107929122777,3.3771874066118373,0.8010794774890604
10000000.0,220.39473684210526,14.779939278162471,822.5525917335165,86.13750597937533,2.5586384738707935,3.3542855616967224,0.795647087825929
10000000.0,220.39473684210526,14.984068818837759,816.9305184468337,85.54876384152912,2.5762468906080906,3.3773695802594936,0.801122689651403
10000000.0,220.39473684210526,15.192191900127305,811.3155150720772,84.96076206312857,2.594076741900513,3.4007438917802983,0.8066671498797855
10000000.0,229.21052631578948,14.982452395885403,816.9745856526204,85.55337854852792,2.679152246287688,3.4564316101547146,0.7772793638670263
