j,l,flow_coefficient_2,flow_coefficient_3,omega,m,T_01,T_1,P_01,P_1,rho_1,T_02,T_2,P_02,P_02_rel,P_2,rho_2,T_03,T_3,P_03,P_03_rel,P_3,rho_3,A_1,A_2,A_3,M_1,C_1,C_a_1,C_w_1,dummy,M_2,C_2,C_a_2,C_w_2,alpha_2,M_2_rel,V_2,V_w_2,beta_2m,U,i,C_3,C_a_3,C_w_3,k,M_3_rel,V_3,V_w_3,beta_3m
3.75,0.5,0.541294340836533,0.7567571439094027,3935.105506645482,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1250.7058327247628,1128.2089778355605,1043.8722809873693,755.2963595106676,691.169878516914,2.1345845173607993,1053.051,1014.3325208117591,524.594,741.2872690713779,451.59238549409287,1.5512591779314637,0.017363584488324868,0.012564485903173652,0.012564485903173652,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8071306909156427,530.332705785348,185.71989453989008,496.7503393030554,69.50075358927653,0.3668434996937654,241.03792357549491,153.64700248842553,39.601125287206855,343.10333681462987,0.4785714285714286,298.1581710352411,259.6459012336251,146.56841722437562,29.444444444444443,0.8896244558772979,554.2512252860229,489.67175403900546,62.06546128029333
3.75,0.5,0.541294340836533,0.7567571439094027,3935.105506645482,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1250.7058327247628,1128.2089778355605,1043.8722809873693,755.2963595106676,691.169878516914,2.1345845173607993,1053.051,1014.3325208117591,524.594,741.2872690713779,451.59238549409287,1.5512591779314637,0.017363584488324868,0.012564485903173652,0.012564485903173652,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8071306909156427,530.332705785348,185.71989453989008,496.7503393030554,69.50075358927653,0.3668434996937654,241.03792357549491,153.64700248842553,39.601125287206855,343.10333681462987,0.4785714285714286,298.1581710352411,259.6459012336251,146.56841722437562,29.444444444444443,0.8896244558772979,554.2512252860229,489.67175403900546,62.06546128029333
3.75,0.5,0.541294340836533,0.7567571439094027,3935.105506645482,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1250.7058327247628,1128.2089778355605,1043.8722809873693,755.2963595106676,691.169878516914,2.1345845173607993,1053.051,1014.3325208117591,524.594,741.2872690713779,451.59238549409287,1.5512591779314637,0.017363584488324868,0.012564485903173652,0.012564485903173652,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8071306909156427,530.332705785348,185.71989453989008,496.7503393030554,69.50075358927653,0.3668434996937654,241.03792357549491,153.64700248842553,39.601125287206855,343.10333681462987,0.4785714285714286,298.1581710352411,259.6459012336251,146.56841722437562,29.444444444444443,0.8896244558772979,554.2512252860229,489.67175403900546,62.06546128029333
3.75,0.5,0.541294340836533,0.7567571439094027,3935.105506645482,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1250.7058327247628,1128.2089778355605,1043.8722809873693,755.2963595106676,691.169878516914,2.1345845173607993,1053.051,1014.3325208117591,524.594,741.2872690713779,451.59238549409287,1.5512591779314637,0.017363584488324868,0.012564485903173652,0.012564485903173652,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8071306909156427,530.332705785348,185.71989453989008,496.7503393030554,69.50075358927653,0.3668434996937654,241.03792357549491,153.64700248842553,39.601125287206855,343.10333681462987,0.4785714285714286,298.1581710352411,259.6459012336251,146.56841722437562,29.444444444444443,0.8896244558772979,554.2512252860229,489.67175403900546,62.06546128029333
3.75,0.5,0.541294340836533,0.7567571439094027,3935.105506645482,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1250.7058327247628,1128.2089778355605,1043.8722809873693,755.2963595106676,691.169878516914,2.1345845173607993,1053.051,1014.3325208117591,524.594,741.2872690713779,451.59238549409287,1.5512591779314637,0.017363584488324868,0.012564485903173652,0.012564485903173652,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8071306909156427,530.332705785348,185.71989453989008,496.7503393030554,69.50075358927653,0.3668434996937654,241.03792357549491,153.64700248842553,39.601125287206855,343.10333681462987,0.4785714285714286,298.1581710352411,259.6459012336251,146.56841722437562,29.444444444444443,0.8896244558772979,554.2512252860229,489.67175403900546,62.06546128029333
3.75,0.5,0.5727413974211261,0.8044234177856816,4040.1935262779643,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1254.5585596213662,1126.7953662163764,1056.7941621618731,759.166851594162,687.7122982053032,2.126570777729111,1053.051,1011.5052975733909,524.594,735.165518450829,446.57851138261543,1.5383238144943139,0.017363584488324868,0.0119193658077627,0.0119193658077627,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8248149443040235,541.6126771576314,196.5094845870624,504.70616652185237,68.72633820870479,0.3874586623523251,254.42376481385236,161.6028297072225,39.43273618588614,343.10333681462987,0.49642857142857144,308.8521461729619,276.0003588540964,138.61259000557862,26.666666666666664,0.8923620346142916,555.1814408279896,481.7159268202085,60.18933880102855
3.75,0.5,0.5727413974211261,0.8044234177856816,4040.1935262779643,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1254.5585596213662,1126.7953662163764,1056.7941621618731,759.166851594162,687.7122982053032,2.126570777729111,1053.051,1011.5052975733909,524.594,735.165518450829,446.57851138261543,1.5383238144943139,0.017363584488324868,0.0119193658077627,0.0119193658077627,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8248149443040235,541.6126771576314,196.5094845870624,504.70616652185237,68.72633820870479,0.3874586623523251,254.42376481385236,161.6028297072225,39.43273618588614,343.10333681462987,0.49642857142857144,308.8521461729619,276.0003588540964,138.61259000557862,26.666666666666664,0.8923620346142916,555.1814408279896,481.7159268202085,60.18933880102855
3.75,0.5,0.5727413974211261,0.8044234177856816,4040.1935262779643,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1254.5585596213662,1126.7953662163764,1056.7941621618731,759.166851594162,687.7122982053032,2.126570777729111,1053.051,1011.5052975733909,524.594,735.165518450829,446.57851138261543,1.5383238144943139,0.017363584488324868,0.0119193658077627,0.0119193658077627,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8248149443040235,541.6126771576314,196.5094845870624,504.70616652185237,68.72633820870479,0.3874586623523251,254.42376481385236,161.6028297072225,39.43273618588614,343.10333681462987,0.49642857142857144,308.8521461729619,276.0003588540964,138.61259000557862,26.666666666666664,0.8923620346142916,555.1814408279896,481.7159268202085,60.18933880102855
3.75,0.5,0.5727413974211261,0.8044234177856816,4040.1935262779643,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1254.5585596213662,1126.7953662163764,1056.7941621618731,759.166851594162,687.7122982053032,2.126570777729111,1053.051,1011.5052975733909,524.594,735.165518450829,446.57851138261543,1.5383238144943139,0.017363584488324868,0.0119193658077627,0.0119193658077627,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8248149443040235,541.6126771576314,196.5094845870624,504.70616652185237,68.72633820870479,0.3874586623523251,254.42376481385236,161.6028297072225,39.43273618588614,343.10333681462987,0.49642857142857144,308.8521461729619,276.0003588540964,138.61259000557862,26.666666666666664,0.8923620346142916,555.1814408279896,481.7159268202085,60.18933880102855
3.75,0.5,0.5727413974211261,0.8044234177856816,4040.1935262779643,17741905.0,1245.32,1242.085434859362,1182.073,1169.8395186776936,3.281655004960209,1254.5585596213662,1126.7953662163764,1056.7941621618731,759.166851594162,687.7122982053032,2.126570777729111,1053.051,1011.5052975733909,524.594,735.165518450829,446.57851138261543,1.5383238144943139,0.017363584488324868,0.0119193658077627,0.0119193658077627,0.125,86.17782349696293,84.86858871752672,14.964622005550048,-10,0.8248149443040235,541.6126771576314,196.5094845870624,504.70616652185237,68.72633820870479,0.3874586623523251,254.42376481385236,161.6028297072225,39.43273618588614,343.10333681462987,0.49642857142857144,308.8521461729619,276.0003588540964,138.61259000557862,26.666666666666664,0.8923620346142916,555.1814408279896,481.7159268202085,60.18933880102855
