reaction,stage_loading,flow_coefficient_exit,U,c_exit_axial,c_absolute,A1,A2,A3,flow_coefficient_entry,C2,V2,alpha_2,beta_2,C3,V3,alpha_3_check_val,beta_3,M_exit
0.35,3.8205128205128203,0.5769230769230769,333.1364071545049,192.1940810506759,217.41929036562993,17.35899820842938,15.292462598681894,15.292462598681894,0.46351886867055464,518.62182334581,223.77755462869032,72.67802374568912,46.36688503841457,217.41929036562988,475.3705797496836,27.87386589355946,66.15249966407747,0.34783672153512657
0.35,3.8205128205128203,0.5846153846153845,333.1364071545049,194.75666879801824,219.68783096357726,17.35899820842938,15.091245985541342,15.091245985541342,0.4696991202528288,519.2385525581412,225.2031810781935,72.46113967671863,45.98776039963981,219.68783096357726,476.4124088874444,27.561399073582876,65.87062045932258,0.3514660302451879
0.35,3.8205128205128203,0.5923076923076923,333.1364071545049,197.31925654536062,221.96277173389723,17.35899820842938,14.895255777936907,14.895255777936907,0.4758793718351029,519.8627041247297,226.6385435995833,72.24477329934464,45.613421738242096,221.9627717338972,477.4657184597135,27.255328374943026,65.58997816172989,0.3551055782259764
0.35,3.8205128205128203,0.6,333.1364071545049,199.88184429270294,224.2439178886078,17.35899820842938,14.70429096027105,14.70429096027105,0.48205962341737696,520.4942513439897,228.0834583813659,72.02892891099071,45.243810356104085,224.24391788860783,478.5304326565752,26.955476340267264,65.31057802500828,0.3587550538473098
0.35,3.871794871794872,0.5769230769230769,330.9228516963349,190.91702982480857,217.9904204307118,17.35899820842938,15.39475445879567,15.39475445879567,0.46351886867055464,518.4308371564182,224.7700362763729,72.79018748350998,46.966464568295756,217.99042043071185,476.09541403704804,28.859647567689866,66.35892805999173,0.34875043995024113
0.35,3.871794871794872,0.5846153846153845,330.9228516963349,193.46259022247267,220.22326157338608,17.35899820842938,15.192191900127305,15.192191900127305,0.46969912025282884,519.0396264850924,226.17066599088767,72.57453077877176,46.58774938645492,220.22326157338605,477.1218972186978,28.539985187959964,66.07889475207368,0.35232263513802997
0.35,3.871794871794872,0.5923076923076923,330.9228516963349,196.0081506201368,222.46281988673496,17.35899820842938,14.994890706619158,14.994890706619158,0.47587937183510287,519.6557518052907,227.5810551810043,72.359382414986,46.21371205775381,222.46281988673502,478.15972864672284,28.22674937534571,65.80007041552514,0.3559055767440484
0.35,3.871794871794872,0.6,330.9228516963349,198.5537110178009,224.70889453106224,17.35899820842938,14.80264851807276,14.80264851807276,0.4820596234173769,520.2791870547173,229.0010235245576,72.14474664267807,45.84429773953742,224.70889453106219,479.2088345898076,27.919766428108602,65.52246035853365,0.3594989434563219
0.35,3.871794871794872,0.6076923076923076,330.9228516963349,201.099271415465,226.9612920439574,17.35899820842938,14.615273220375634,14.615273220375634,0.488239874999651,520.9099059873706,230.4303939343694,71.93062763459947,45.47945139879657,226.96129204395749,480.26914116338185,27.618868073766414,65.24606961511275,0.3631024257653745
0.35,3.923076923076923,0.5846153846153845,328.7528423794219,192.19396939104664,220.82390628445782,17.35899820842938,15.292471483199495,15.292471483199495,0.46969912025282884,518.8679282475091,227.1593814160676,72.68650975465302,47.17474411461006,220.82390628445776,477.8490014376531,29.50072462349915,66.28381054863287,0.3532835723518129
0.35,3.923076923076923,0.5923076923076923,328.7528423794219,194.7228374093499,223.02838188263962,17.35899820842938,15.093867957443656,15.093867957443656,0.47587937183510287,519.4762053366275,228.54536860853273,72.4725675973942,46.801160515722366,223.02838188263954,478.8717257402276,29.180806052499825,66.00678943077185,0.3568103871228768
0.35,3.923076923076923,0.6,328.7528423794219,197.25170542765315,225.23967459255059,17.35899820842938,14.900356829784121,14.900356829784121,0.48205962341737696,520.091708335705,229.94095477104597,72.259128850131,46.43209618416465,225.23967459255064,479.90559654873107,28.867159469514643,65.7309554728266,0.3603481082021631
0.35,3.923076923076923,0.6076923076923076,328.7528423794219,199.78057344595638,227.4575855908868,17.35899820842938,14.711744718014705,14.711744718014705,0.488239874999651,520.7144116208927,231.34596618735492,72.04619764099314,46.06749968374021,227.45758559088674,480.9505419802236,28.559620478319804,65.45631376327802,0.3638964175036083
0.35,3.9743589743589745,0.5846153846153845,326.62496990852054,190.94998240805813,221.48666796451093,17.35899820842938,15.392097758221452,15.392097758221452,0.4696991202528288,518.7224276820943,228.16807440826983,72.79710198048751,47.749042902855614,221.48666796451087,478.59291970911863,30.44357567992569,66.48544331706343,0.354343886961253
0.35,3.9743589743589745,0.5923076923076923,326.62496990852054,193.46248217658524,223.65638894140574,17.35899820842938,15.192200384738054,15.192200384738054,0.47587937183510287,519.3230287959947,229.53021900529276,72.58435435254853,47.37605521800632,223.65638894140574,479.6008955621193,30.117444979139545,66.21021054704529,0.35781509979604753
0.35,3.9743589743589745,0.6,326.62496990852054,195.97498194511232,225.8332168941737,17.35899820842938,14.99742858493372,14.99742858493372,0.4820596234173769,519.9307734544333,230.90197570332157,72.37210116326804,47.00748380400752,225.83321689417386,480.61989197540356,29.797591290823934,65.93613855598176,0.36129768267617507
0.35,3.9743589743589745,0.6076923076923076,326.62496990852054,198.4874817136394,228.01694827667117,17.35899820842938,14.807587716770003,14.807587716770003,0.488239874999651,520.5456366368318,232.28317420858681,72.16034649626516,46.64328065449278,228.01694827667114,481.6498390024475,29.483854494576757,65.66323247886363,0.3647913099597704
0.35,3.9743589743589745,0.6153846153846154,326.62496990852054,200.9999814821665,230.20738663260803,17.35899820842938,14.622492870310378,14.622492870310378,0.49442012658192513,521.1675931483112,233.673647095208,71.9490943615265,46.283397482082904,230.20738663260803,482.69066654524465,29.176079067978538,65.39149719548551,0.36829566734762026
