K_p_stator,K_s_stator,K_TET_stator,K_stator,K_p_rotor,K_s_rotor,K_TET_rotor,K_rotor,pitch_stator,N_stator,pitch_rotor,N_rotor
0.030143677176430107,0.09777029085974336,0.011285388349601636,0.1391993563857751,0.043393877731360164,0.09898851165407872,0.006989775975593412,0.14937216536103232,12.334579998757585,38,33.39685170053405,52
0.030143677176430107,0.09777029085974336,0.011285388349601636,0.1391993563857751,0.043393877731360164,0.09898851165407872,0.006989775975593412,0.14937216536103232,12.334579998757585,38,33.39685170053405,52
0.030143677176430107,0.09777029085974336,0.011285388349601636,0.1391993563857751,0.043393877731360164,0.09898851165407872,0.006989775975593412,0.14937216536103232,12.334579998757585,38,33.39685170053405,52
0.030143677176430107,0.09777029085974336,0.011285388349601636,0.1391993563857751,0.043393877731360164,0.09898851165407872,0.006989775975593412,0.14937216536103232,12.334579998757585,38,33.39685170053405,52
0.030143677176430107,0.09777029085974336,0.011285388349601636,0.1391993563857751,0.043393877731360164,0.09898851165407872,0.006989775975593412,0.14937216536103232,12.334579998757585,38,33.39685170053405,52
0.029702508918594873,0.09730535798961207,0.011206802104379451,0.1382146690125864,0.04344642904185706,0.10177791986364186,0.00825390630867953,0.15347825521417846,12.324625018447385,37,33.011058379902096,54
0.029702508918594873,0.09730535798961207,0.011206802104379451,0.1382146690125864,0.04344642904185706,0.10177791986364186,0.00825390630867953,0.15347825521417846,12.324625018447385,37,33.011058379902096,54
0.029702508918594873,0.09730535798961207,0.011206802104379451,0.1382146690125864,0.04344642904185706,0.10177791986364186,0.00825390630867953,0.15347825521417846,12.324625018447385,37,33.011058379902096,54
0.029702508918594873,0.09730535798961207,0.011206802104379451,0.1382146690125864,0.04344642904185706,0.10177791986364186,0.00825390630867953,0.15347825521417846,12.324625018447385,37,33.011058379902096,54
0.029702508918594873,0.09730535798961207,0.011206802104379451,0.1382146690125864,0.04344642904185706,0.10177791986364186,0.00825390630867953,0.15347825521417846,12.324625018447385,37,33.011058379902096,54
0.029823169435502103,0.09769835754160745,0.011178269258425218,0.13869979623553477,0.04450169252476328,0.10512050158483978,0.008258460669325628,0.15788065477892868,12.289390325277463,37,32.764441752898506,55
0.029823169435502103,0.09769835754160745,0.011178269258425218,0.13869979623553477,0.04450169252476328,0.10512050158483978,0.008258460669325628,0.15788065477892868,12.289390325277463,37,32.764441752898506,55
0.029823169435502103,0.09769835754160745,0.011178269258425218,0.13869979623553477,0.04450169252476328,0.10512050158483978,0.008258460669325628,0.15788065477892868,12.289390325277463,37,32.764441752898506,55
0.029823169435502103,0.09769835754160745,0.011178269258425218,0.13869979623553477,0.04450169252476328,0.10512050158483978,0.008258460669325628,0.15788065477892868,12.289390325277463,37,32.764441752898506,55
0.029823169435502103,0.09769835754160745,0.011178269258425218,0.13869979623553477,0.04450169252476328,0.10512050158483978,0.008258460669325628,0.15788065477892868,12.289390325277463,37,32.764441752898506,55
0.02994278015675328,0.0980558625298669,0.01114988905433288,0.13914853174095304,0.045622203926030815,0.10858917100646868,0.00827041746403176,0.16248179239653127,12.257265410105235,37,32.51496233715731,55
0.02994278015675328,0.0980558625298669,0.01114988905433288,0.13914853174095304,0.045622203926030815,0.10858917100646868,0.00827041746403176,0.16248179239653127,12.257265410105235,37,32.51496233715731,55
0.02994278015675328,0.0980558625298669,0.01114988905433288,0.13914853174095304,0.045622203926030815,0.10858917100646868,0.00827041746403176,0.16248179239653127,12.257265410105235,37,32.51496233715731,55
0.02994278015675328,0.0980558625298669,0.01114988905433288,0.13914853174095304,0.045622203926030815,0.10858917100646868,0.00827041746403176,0.16248179239653127,12.257265410105235,37,32.51496233715731,55
0.02994278015675328,0.0980558625298669,0.01114988905433288,0.13914853174095304,0.045622203926030815,0.10858917100646868,0.00827041746403176,0.16248179239653127,12.257265410105235,37,32.51496233715731,55
0.029589366764731746,0.09715988157439492,0.011266854897596091,0.13801610323672278,0.04089300397153275,0.09505209655086344,0.007335179679976941,0.14328028020237313,12.35409598760139,37,33.903903709848905,52
0.029589366764731746,0.09715988157439492,0.011266854897596091,0.13801610323672278,0.04089300397153275,0.09505209655086344,0.007335179679976941,0.14328028020237313,12.35409598760139,37,33.903903709848905,52
0.029589366764731746,0.09715988157439492,0.011266854897596091,0.13801610323672278,0.04089300397153275,0.09505209655086344,0.007335179679976941,0.14328028020237313,12.35409598760139,37,33.903903709848905,52
0.029589366764731746,0.09715988157439492,0.011266854897596091,0.13801610323672278,0.04089300397153275,0.09505209655086344,0.007335179679976941,0.14328028020237313,12.35409598760139,37,33.903903709848905,52
0.029589366764731746,0.09715988157439492,0.011266854897596091,0.13801610323672278,0.04089300397153275,0.09505209655086344,0.007335179679976941,0.14328028020237313,12.35409598760139,37,33.903903709848905,52
0.029718229837316017,0.09715988157439492,0.009774101606942165,0.1366522130186531,0.04183731367728488,0.09505209655086344,0.00671115080259665,0.14360056103074498,11.543090551721098,33,31.678224855334186,45
0.029718229837316017,0.09715988157439492,0.009774101606942165,0.1366522130186531,0.04183731367728488,0.09505209655086344,0.00671115080259665,0.14360056103074498,11.543090551721098,33,31.678224855334186,45
0.029718229837316017,0.09715988157439492,0.009774101606942165,0.1366522130186531,0.04183731367728488,0.09505209655086344,0.00671115080259665,0.14360056103074498,11.543090551721098,33,31.678224855334186,45
0.029718229837316017,0.09715988157439492,0.009774101606942165,0.1366522130186531,0.04183731367728488,0.09505209655086344,0.00671115080259665,0.14360056103074498,11.543090551721098,33,31.678224855334186,45
