rho_3_od,T_3_od,P_3_od,alpha_3_od,flow_coeff_2_od,incidence_2,v_2_od,alpha_3_rel_od,C_w_3_od,C_a_3_od,U_mean_od,flow_coeff_3_od
1.6782765415723504,1041.2938159808111,501.5551684783009,0.023414227794054353,0.4725554011503007,8.205322059587722,223.00193780861215,64.68229135006435,0.06714208050578918,164.29999999999495,347.23433059319876,0.47316749965164034
1.6786220515357022,1041.365268071713,501.6928476716182,0.00787883414870469,0.47143837438778374,8.247685870529637,222.18893939005048,64.74689103690385,0.022524399749158874,163.79999999999498,347.23433059319876,0.4717275498657255
1.6788976521345866,1041.42225574918,501.80267607664695,0.06726569045812354,0.4703167047857088,8.290422927720456,221.37518975746912,64.81165895439672,0.19183295809875744,163.399999999995,347.2343305931987,0.4705755900369937
1.6740521681045892,1040.4194138268438,499.8725997555659,0.060046385697384255,0.4887571940509336,8.175500299210626,226.65605217180772,63.88613992364287,0.17847568031947958,170.2999999999946,347.23433059319876,0.49044689708261885
1.6744097292886848,1040.4934822861255,500.0149616703881,0.04851390009799591,0.4876344228942153,8.216674682400544,225.8477404311964,63.95040467930812,0.14377432814950453,169.79999999999464,347.23433059319876,0.489006947296704
1.6747662843244546,1040.5673318232816,500.1569330813346,0.037278899407583305,0.4865073294565261,8.258200047961026,225.03877364811237,64.01482302580797,0.11015328901942212,169.29999999999467,347.2343305931987,0.4875669975107892
1.6751218332176674,1040.6409625319695,500.29851390397187,0.02635034673575546,0.4853759088289871,8.300080773884837,224.22915131028117,64.07939581933167,0.07763117773049544,168.7999999999947,347.23433059319876,0.48612704772487425
1.6744097696542006,1040.4934906472085,500.0149777423696,0.012954936012980365,0.4902367480315639,8.061629298643716,227.97462494762743,63.88206178577073,0.038392848324690476,169.79999999999464,346.29203759254995,0.49033758090557866
1.6744097696542006,1040.4934906472085,500.0149777423696,0.012954936012961184,0.4902367480315638,8.061629298643709,227.9746249476274,63.88206178577073,0.03839284832463363,169.79999999999464,346.29203759255,0.49033758090557855
1.6697578151936041,1039.5290175732302,498.16360824825455,0.05785171452181587,0.5047103415234899,8.138009310282783,230.32653539845654,63.10685878341466,0.1779097107929033,176.19999999999428,347.23433059319876,0.5074383045564144
1.6701271433340334,1039.6056544709693,498.31052948401083,0.04981400569460751,0.5035804382163384,8.177993836886685,229.5225008478601,63.17081539921026,0.1527568536492936,175.6999999999943,347.23433059319876,0.5059983547704995
1.670495473089742,1039.682072948675,498.45706434192294,0.042020376095102396,0.502446510925976,8.21830800017598,228.7179031061464,63.234912394984214,0.12849063708262065,175.19999999999433,347.2343305931987,0.5045584049845847
1.6701271865140495,1039.605663430315,498.31054666194683,0.017144300829105955,0.5062699877618034,8.02808651384472,231.62997460042047,63.101401198835326,0.05257374576581242,175.6999999999943,346.29203759254995,0.5073752235872209
1.6701271865140495,1039.605663430315,498.31054666194683,0.01714430082908742,0.5062699877618034,8.028086513844713,231.6299746004204,63.101401198835326,0.052573745765755575,175.6999999999943,346.29203759255,0.5073752235872208
1.6704955063198943,1039.6820798425276,498.4570775625617,0.008537685041566457,0.5051328672104193,8.067348496319056,230.82415884383173,63.165460920209824,0.02610667736900041,175.19999999999433,346.29203759255,0.5059313555633528
1.6704955063198943,1039.6820798425276,498.4570775625617,0.008537685041585046,0.5051328672104193,8.067348496319063,230.82415884383178,63.165460920209824,0.026106677369057252,175.19999999999433,346.29203759254995,0.5059313555633528
1.6708628274693729,1039.7582778744534,498.60322188749655,0.00016618790735164812,0.503991733465606,8.106934535249913,230.01776653799647,63.229660693039406,0.0005067219202032902,174.69999999999436,346.29203759254995,0.5044874875394848
1.6708628274693729,1039.7582778744534,498.60322188749655,0.0001661879073330054,0.5039917334656059,8.106934535249898,230.0177665379964,63.229660693039406,0.0005067219201464468,174.69999999999436,346.29203759255,0.5044874875394848
1.671155902029452,1039.8190659959662,498.7198337552084,0.057383176090181516,0.5028465828844018,8.146848493065171,229.2107978272424,63.294001305321764,0.17456592827011264,174.29999999999438,346.29203759254995,0.5033323931203905
1.671155902029452,1039.8190659959662,498.7198337552084,0.05738317609016283,0.5028465828844016,8.146848493065157,229.21079782724237,63.294001305321764,0.1745659282700558,174.29999999999438,346.29203759255,0.5033323931203904
1.6715214442174806,1039.8948750462373,498.8652894276616,0.04988064750112598,0.5016974115429375,8.18709428966254,228.40325281374,63.35848355762187,0.15130710847375894,173.7999999999944,346.29203759255,0.5018885250965224
1.6715214442174806,1039.8948750462373,498.8652894276616,0.04988064750114472,0.5016974115429376,8.187094289662546,228.40325281374004,63.35848355762187,0.1513071084738158,173.7999999999944,346.29203759254995,0.5018885250965225
1.6654012862098435,1038.6241683238104,496.4313694089345,0.02340756254170975,0.5204133697340955,8.094199428257046,234.00609065263825,62.344134965551184,0.07435410872858483,181.99999999999395,347.2343305931987,0.524141722073027
1.6657821123738794,1038.703328656093,496.58273295735705,0.018422290510246304,0.519275076548203,8.13300740686785,233.20592142817696,62.40780434052007,0.058357628978058074,181.49999999999397,347.2343305931987,0.5227017722871121
1.6657059846744726,1038.6875053564233,496.5524742432135,0.04857312116101677,0.5220517244150124,7.988061231155722,235.29518699528768,62.33737834462375,0.1539534149109727,181.59999999999397,346.29203759254995,0.524412866268863
1.6657059846744726,1038.6875053564233,496.5524742432135,0.04857312116099884,0.5220517244150122,7.988061231155715,235.29518699528765,62.33737834462375,0.15395341491091585,181.59999999999397,346.29203759255,0.5244128662688629
