K_p_stator,K_s_stator,K_TET_stator,K_stator,N_stator,K_p_rotor,K_s_rotor,K_TET_rotor,K_rotor,N_rotor,eta_tt,delta_n,eta_final,eta_tt_od,delta_n_od,eta_final_od
0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
0.030348321567340342,0.0979879084374367,0.010603829449653587,0.1389400594544306,37,0.0353084709270288,0.08324593932203062,0.006209569040654916,0.12476397928971433,47,89.70896126077102,1.7102101831595966,87.99875107761142,87.87442931415498,1.6752366958698008,86.19919261828518
0.030348321567340342,0.0979879084374367,0.010603829449653587,0.1389400594544306,37,0.0353084709270288,0.08324593932203062,0.006209569040654916,0.12476397928971433,47,89.70896126077102,1.7102101831595966,87.99875107761142,87.87442931415498,1.6752366958698008,86.19919261828518
0.030348321567340342,0.0979879084374367,0.010603829449653587,0.1389400594544306,37,0.0353084709270288,0.08324593932203062,0.006209569040654916,0.12476397928971433,47,89.70896126077102,1.7102101831595966,87.99875107761142,87.87442931415498,1.6752366958698008,86.19919261828518
0.030348321567340342,0.0979879084374367,0.010603829449653587,0.1389400594544306,37,0.0353084709270288,0.08324593932203062,0.006209569040654916,0.12476397928971433,47,89.70896126077102,1.7102101831595966,87.99875107761142,87.87442931415498,1.6752366958698008,86.19919261828518
0.030348321567340342,0.0979879084374367,0.010603829449653587,0.1389400594544306,37,0.0353084709270288,0.08324593932203062,0.006209569040654916,0.12476397928971433,47,89.70896126077102,1.7102101831595966,87.99875107761142,87.87442931415498,1.6752366958698008,86.19919261828518
0.03003966644107997,0.097807447278701,0.01260075750147966,0.14044787122126062,43,0.0329835878266216,0.07796539319140301,0.006824182405340743,0.11777316342336536,53,89.97917151036438,1.864482073306322,88.11468943705806,88.25831254882452,1.8288237022564173,86.4294888465681
0.03003966644107997,0.097807447278701,0.01260075750147966,0.14044787122126062,43,0.0329835878266216,0.07796539319140301,0.006824182405340743,0.11777316342336536,53,89.97917151036438,1.864482073306322,88.11468943705806,88.25831254882452,1.8288237022564173,86.4294888465681
0.03003966644107997,0.097807447278701,0.01260075750147966,0.14044787122126062,43,0.0329835878266216,0.07796539319140301,0.006824182405340743,0.11777316342336536,53,89.97917151036438,1.864482073306322,88.11468943705806,88.25831254882452,1.8288237022564173,86.4294888465681
0.03003966644107997,0.097807447278701,0.01260075750147966,0.14044787122126062,43,0.0329835878266216,0.07796539319140301,0.006824182405340743,0.11777316342336536,53,89.97917151036438,1.864482073306322,88.11468943705806,88.25831254882452,1.8288237022564173,86.4294888465681
0.03003966644107997,0.097807447278701,0.01260075750147966,0.14044787122126062,43,0.0329835878266216,0.07796539319140301,0.006824182405340743,0.11777316342336536,53,89.97917151036438,1.864482073306322,88.11468943705806,88.25831254882452,1.8288237022564173,86.4294888465681
0.03009584895105639,0.09789867625450031,0.012430202960494937,0.14042472816605164,41,0.0373676254573059,0.09294212265204999,0.009115084808677463,0.13942483291803334,58,88.9536104801615,1.6949179723108665,87.25869250785064,86.89493478041295,1.6556920609192018,85.23924271949375
