stage_loading,reaction_mean,work_part_a,work_check_cw,work_check_vw,T_1,P_1,rho_1,A_1,C_1,C_a_1,M_3,T_3,P_3,rho_3,C_3,alpha_3,U,C_a_3,C_w_3,V_3,V_w_3,flow_coefficient_3,beta_3,a_3,M_3_rel,A_3,T_2,P_2,P_02,P_02_rel,P_03_rel,rho_2,A_2,C_a_2,flow_coefficient_2,a_2,V_w_2,beta_2,V_2,C_w_2,C_2,alpha_2,M_2,M_2_rel,N,omega,r_hub,r_tip,r_meanline,h,alpha_2_hub,alpha_3_hub,beta_2_hub,beta_3_hub,U_hub,V_3_hub,C_2_hub,M_2_rel_hub,M_2_hub,reaction_hub,alpha_2_tip,alpha_3_tip,beta_2_tip,beta_3_tip,U_tip,V_3_tip,C_2_tip,M_2_rel_tip,M_2_tip,K_p_stator,K_s_stator,K_TET_stator,K_stator,N_stator,K_p_rotor,K_s_rotor,K_TET_rotor,K_rotor,N_rotor,K_1_rotor,K_2_rotor,pitch_chord_ratio_rotor,c_true_rotor,c_a_rotor,stagger_angle_rotor,pitch_axial_chord_ratio_rotor,eta_tt,delta_n,eta_final,eta_tt_od,delta_n_od,eta_final_od
3.125,0.45,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,18.333333333333332,375.850874257331,252.32491635816976,83.61137146990217,524.1883427393915,459.46224572723315,0.6713431673047336,61.225535035520245,625.4519743380613,0.8380952722935429,0.012629956083100578,1121.1905343618607,674.1308573217791,1031.9124715255468,730.0194788777459,725.463910417906,2.094994501485335,0.012629956083100578,188.24861036991467,0.5008598443249275,655.0123448278366,127.80474529984645,34.17315866160136,227.53371668252282,503.65561955717743,537.686267648457,69.50603955602621,0.820879593940756,0.34737317316107647,39228.01927849505,4107.948572673294,0.08050853442504016,0.10247860263775019,0.09149356853139518,0.02197006821271001,71.79452936416892,20.635222629166602,52.081190961335665,59.346168322693316,330.72491907936245,306.32232498616395,602.5389651758998,0.47452398403702634,0.9333932494333527,0.3062804046032993,67.28386424653046,16.48052862368212,8.665535952442443,63.0191795182787,420.9768294352996,190.4223398311595,487.48126779984284,0.29071565037634534,0.7442321837887992,0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,0.20238090963307132,0.17179312115407097,0.60284204853418,0.01690005247131539,0.014753246267249158,29.19431944821308,0.6905641014587723,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
3.125,0.45,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,18.333333333333332,375.850874257331,252.32491635816976,83.61137146990217,524.1883427393915,459.46224572723315,0.6713431673047336,61.225535035520245,625.4519743380613,0.8380952722935429,0.012629956083100578,1121.1905343618607,674.1308573217791,1031.9124715255468,730.0194788777459,725.463910417906,2.094994501485335,0.012629956083100578,188.24861036991467,0.5008598443249275,655.0123448278366,127.80474529984645,34.17315866160136,227.53371668252282,503.65561955717743,537.686267648457,69.50603955602621,0.820879593940756,0.34737317316107647,39228.01927849505,4107.948572673294,0.08050853442504016,0.10247860263775019,0.09149356853139518,0.02197006821271001,71.79452936416892,20.635222629166602,52.081190961335665,59.346168322693316,330.72491907936245,306.32232498616395,602.5389651758998,0.47452398403702634,0.9333932494333527,0.3062804046032993,67.28386424653046,16.48052862368212,8.665535952442443,63.0191795182787,420.9768294352996,190.4223398311595,487.48126779984284,0.29071565037634534,0.7442321837887992,0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,0.20238090963307132,0.17179312115407097,0.60284204853418,0.01690005247131539,0.014753246267249158,29.19431944821308,0.6905641014587723,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
3.125,0.45,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,18.333333333333332,375.850874257331,252.32491635816976,83.61137146990217,524.1883427393915,459.46224572723315,0.6713431673047336,61.225535035520245,625.4519743380613,0.8380952722935429,0.012629956083100578,1121.1905343618607,674.1308573217791,1031.9124715255468,730.0194788777459,725.463910417906,2.094994501485335,0.012629956083100578,188.24861036991467,0.5008598443249275,655.0123448278366,127.80474529984645,34.17315866160136,227.53371668252282,503.65561955717743,537.686267648457,69.50603955602621,0.820879593940756,0.34737317316107647,39228.01927849505,4107.948572673294,0.08050853442504016,0.10247860263775019,0.09149356853139518,0.02197006821271001,71.79452936416892,20.635222629166602,52.081190961335665,59.346168322693316,330.72491907936245,306.32232498616395,602.5389651758998,0.47452398403702634,0.9333932494333527,0.3062804046032993,67.28386424653046,16.48052862368212,8.665535952442443,63.0191795182787,420.9768294352996,190.4223398311595,487.48126779984284,0.29071565037634534,0.7442321837887992,0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,0.20238090963307132,0.17179312115407097,0.60284204853418,0.01690005247131539,0.014753246267249158,29.19431944821308,0.6905641014587723,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
3.125,0.45,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,18.333333333333332,375.850874257331,252.32491635816976,83.61137146990217,524.1883427393915,459.46224572723315,0.6713431673047336,61.225535035520245,625.4519743380613,0.8380952722935429,0.012629956083100578,1121.1905343618607,674.1308573217791,1031.9124715255468,730.0194788777459,725.463910417906,2.094994501485335,0.012629956083100578,188.24861036991467,0.5008598443249275,655.0123448278366,127.80474529984645,34.17315866160136,227.53371668252282,503.65561955717743,537.686267648457,69.50603955602621,0.820879593940756,0.34737317316107647,39228.01927849505,4107.948572673294,0.08050853442504016,0.10247860263775019,0.09149356853139518,0.02197006821271001,71.79452936416892,20.635222629166602,52.081190961335665,59.346168322693316,330.72491907936245,306.32232498616395,602.5389651758998,0.47452398403702634,0.9333932494333527,0.3062804046032993,67.28386424653046,16.48052862368212,8.665535952442443,63.0191795182787,420.9768294352996,190.4223398311595,487.48126779984284,0.29071565037634534,0.7442321837887992,0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,0.20238090963307132,0.17179312115407097,0.60284204853418,0.01690005247131539,0.014753246267249158,29.19431944821308,0.6905641014587723,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
3.125,0.45,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,18.333333333333332,375.850874257331,252.32491635816976,83.61137146990217,524.1883427393915,459.46224572723315,0.6713431673047336,61.225535035520245,625.4519743380613,0.8380952722935429,0.012629956083100578,1121.1905343618607,674.1308573217791,1031.9124715255468,730.0194788777459,725.463910417906,2.094994501485335,0.012629956083100578,188.24861036991467,0.5008598443249275,655.0123448278366,127.80474529984645,34.17315866160136,227.53371668252282,503.65561955717743,537.686267648457,69.50603955602621,0.820879593940756,0.34737317316107647,39228.01927849505,4107.948572673294,0.08050853442504016,0.10247860263775019,0.09149356853139518,0.02197006821271001,71.79452936416892,20.635222629166602,52.081190961335665,59.346168322693316,330.72491907936245,306.32232498616395,602.5389651758998,0.47452398403702634,0.9333932494333527,0.3062804046032993,67.28386424653046,16.48052862368212,8.665535952442443,63.0191795182787,420.9768294352996,190.4223398311595,487.48126779984284,0.29071565037634534,0.7442321837887992,0.030304488202726555,0.09786102316382168,0.01254021522007399,0.14070572658662223,42,0.03601553233896824,0.08694398866418163,0.007774210859544823,0.13073373186269469,56,0.20238090963307132,0.17179312115407097,0.60284204853418,0.01690005247131539,0.014753246267249158,29.19431944821308,0.6905641014587723,89.365042778999,1.760431193190763,87.60461158580823,87.43964599783992,1.7225021725422318,85.71714382529768
3.125,0.5,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,21.11111111111111,375.850874257331,247.9764308547848,95.74139436397125,532.8147690172115,471.59226862130225,0.6597734576107561,62.26334845570933,625.4519743380613,0.8518875803071991,0.012851433506363894,1132.1809798616337,700.9548776649373,1046.4123410824839,751.5185432506483,735.6083645140545,2.1572094334425387,0.012851433506363894,179.6687815386714,0.478032096888669,658.2148877891229,115.67472240577735,32.77432761714696,213.68554575179968,491.52559666310833,523.3338162536561,69.92097860156987,0.7950804911318268,0.3246440481915378,38888.52879485498,4072.3972123610515,0.08121136073748028,0.10337322404540936,0.09229229239144482,0.02216186330792907,72.16983282578933,23.690476274752292,51.744916355065726,60.56893017366498,330.72491907936245,290.1798074602525,586.77593594914,0.4469550060138567,0.903792873378544,0.3638200870912115,67.7348231978094,19.01929326082294,5.676986638169606,63.91218083539415,420.97682943529946,180.55433149808835,474.19302625902804,0.27430909699498296,0.7204228209601796,0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,0.18514052461600117,0.1452279867893513,0.6200861172472899,0.01704758715994544,0.014571717972386908,31.265976848743932,0.7254444637534906,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
3.125,0.5,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,21.11111111111111,375.850874257331,247.9764308547848,95.74139436397125,532.8147690172115,471.59226862130225,0.6597734576107561,62.26334845570933,625.4519743380613,0.8518875803071991,0.012851433506363894,1132.1809798616337,700.9548776649373,1046.4123410824839,751.5185432506483,735.6083645140545,2.1572094334425387,0.012851433506363894,179.6687815386714,0.478032096888669,658.2148877891229,115.67472240577735,32.77432761714696,213.68554575179968,491.52559666310833,523.3338162536561,69.92097860156987,0.7950804911318268,0.3246440481915378,38888.52879485498,4072.3972123610515,0.08121136073748028,0.10337322404540936,0.09229229239144482,0.02216186330792907,72.16983282578933,23.690476274752292,51.744916355065726,60.56893017366498,330.72491907936245,290.1798074602525,586.77593594914,0.4469550060138567,0.903792873378544,0.3638200870912115,67.7348231978094,19.01929326082294,5.676986638169606,63.91218083539415,420.97682943529946,180.55433149808835,474.19302625902804,0.27430909699498296,0.7204228209601796,0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,0.18514052461600117,0.1452279867893513,0.6200861172472899,0.01704758715994544,0.014571717972386908,31.265976848743932,0.7254444637534906,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
3.125,0.5,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,21.11111111111111,375.850874257331,247.9764308547848,95.74139436397125,532.8147690172115,471.59226862130225,0.6597734576107561,62.26334845570933,625.4519743380613,0.8518875803071991,0.012851433506363894,1132.1809798616337,700.9548776649373,1046.4123410824839,751.5185432506483,735.6083645140545,2.1572094334425387,0.012851433506363894,179.6687815386714,0.478032096888669,658.2148877891229,115.67472240577735,32.77432761714696,213.68554575179968,491.52559666310833,523.3338162536561,69.92097860156987,0.7950804911318268,0.3246440481915378,38888.52879485498,4072.3972123610515,0.08121136073748028,0.10337322404540936,0.09229229239144482,0.02216186330792907,72.16983282578933,23.690476274752292,51.744916355065726,60.56893017366498,330.72491907936245,290.1798074602525,586.77593594914,0.4469550060138567,0.903792873378544,0.3638200870912115,67.7348231978094,19.01929326082294,5.676986638169606,63.91218083539415,420.97682943529946,180.55433149808835,474.19302625902804,0.27430909699498296,0.7204228209601796,0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,0.18514052461600117,0.1452279867893513,0.6200861172472899,0.01704758715994544,0.014571717972386908,31.265976848743932,0.7254444637534906,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
3.125,0.5,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,21.11111111111111,375.850874257331,247.9764308547848,95.74139436397125,532.8147690172115,471.59226862130225,0.6597734576107561,62.26334845570933,625.4519743380613,0.8518875803071991,0.012851433506363894,1132.1809798616337,700.9548776649373,1046.4123410824839,751.5185432506483,735.6083645140545,2.1572094334425387,0.012851433506363894,179.6687815386714,0.478032096888669,658.2148877891229,115.67472240577735,32.77432761714696,213.68554575179968,491.52559666310833,523.3338162536561,69.92097860156987,0.7950804911318268,0.3246440481915378,38888.52879485498,4072.3972123610515,0.08121136073748028,0.10337322404540936,0.09229229239144482,0.02216186330792907,72.16983282578933,23.690476274752292,51.744916355065726,60.56893017366498,330.72491907936245,290.1798074602525,586.77593594914,0.4469550060138567,0.903792873378544,0.3638200870912115,67.7348231978094,19.01929326082294,5.676986638169606,63.91218083539415,420.97682943529946,180.55433149808835,474.19302625902804,0.27430909699498296,0.7204228209601796,0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,0.18514052461600117,0.1452279867893513,0.6200861172472899,0.01704758715994544,0.014571717972386908,31.265976848743932,0.7254444637534906,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
3.125,0.5,220724.812,220724.812,220724.812,1242.085434859362,1169.8395186776936,3.281655004960209,0.017363584488324868,86.17782349696293,84.86858871752672,0.42500000000000004,1022.276524863905,465.90660239981776,1.5879929873462793,265.8170890936761,21.11111111111111,375.850874257331,247.9764308547848,95.74139436397125,532.8147690172115,471.59226862130225,0.6597734576107561,62.26334845570933,625.4519743380613,0.8518875803071991,0.012851433506363894,1132.1809798616337,700.9548776649373,1046.4123410824839,751.5185432506483,735.6083645140545,2.1572094334425387,0.012851433506363894,179.6687815386714,0.478032096888669,658.2148877891229,115.67472240577735,32.77432761714696,213.68554575179968,491.52559666310833,523.3338162536561,69.92097860156987,0.7950804911318268,0.3246440481915378,38888.52879485498,4072.3972123610515,0.08121136073748028,0.10337322404540936,0.09229229239144482,0.02216186330792907,72.16983282578933,23.690476274752292,51.744916355065726,60.56893017366498,330.72491907936245,290.1798074602525,586.77593594914,0.4469550060138567,0.903792873378544,0.3638200870912115,67.7348231978094,19.01929326082294,5.676986638169606,63.91218083539415,420.97682943529946,180.55433149808835,474.19302625902804,0.27430909699498296,0.7204228209601796,0.03020840554142069,0.0979879084374367,0.01255441157139277,0.14075072555025017,43,0.03479742756830631,0.08324593932203062,0.007336133527973907,0.12537950041831084,54,0.18514052461600117,0.1452279867893513,0.6200861172472899,0.01704758715994544,0.014571717972386908,31.265976848743932,0.7254444637534906,89.6239726390109,1.8102532692584876,87.81371936975242,87.79673339470723,1.7733461146399216,86.02338728006731
