eta_tt,eta_final,eta_final_od,eta_final_od_new,delta_eta_optimize,delta_eta_optimize_normalized,func_optimize
89.3926584311032,0.876421023533019,0.8566160008261258,0.8566160008261258,0.019805022706893216,0.9496448173203769,0.9448245389167241
89.59205308554579,0.8783759230762321,0.8591039475016471,0.8591039475016471,0.019271975574585043,0.9011729055217902,0.9397234076666428
89.3926584311032,0.876421023533019,0.8566160008261258,0.8573381078669234,0.019082915666095546,0.8839810013663922,0.9382581573213257
89.59205308554579,0.8783759230762321,0.8591039475016471,0.8598302569724896,0.01854566610374253,0.8351269473403607,0.9331188118484999
89.3926584311032,0.876421023533019,0.8566160008261258,0.8580869274484642,0.01833409608455483,0.81588811706116,0.9314488688908025
89.59205308554579,0.8783759230762321,0.8591039475016471,0.8605834381987365,0.01779248487749563,0.7666374428402509,0.9262698613984889
89.3926584311032,0.876421023533019,0.8566160008261258,0.8589036679811339,0.01751735555188505,0.741618933976966,0.924021950582383
89.59205308554579,0.8783759230762321,0.8591039475016471,0.8614049403554691,0.016970982720763028,0.6919352679855324,0.918799643913017
89.3926584311032,0.876421023533019,0.8566160008261258,0.8596695746479155,0.016751448885103493,0.671972258949509,0.9170572830796373
89.59205308554579,0.8783759230762321,0.8591039475016471,0.8621753164170889,0.016200606659143246,0.6218821746523369,0.9117943345796975
89.4417146348213,0.8770700310233959,0.8571481036258182,0.8571481036258182,0.0199219273975777,0.9602753854488689,0.9458031645900753
89.64035105444633,0.8790178699197567,0.8596187502916383,0.8596187502916383,0.019399119628118466,0.9127345761040904,0.9407964326342539
89.4417146348213,0.8770700310233959,0.8571481036258182,0.8582709917801077,0.018799039243288185,0.8581670871850445,0.9355923347636927
89.64035105444633,0.8790178699197567,0.8596187502916383,0.8607481252731349,0.01826974464662179,0.8100364070817895,0.9305266157320238
89.4417146348213,0.8770700310233959,0.8571481036258182,0.8589443765276072,0.018125654495788623,0.796933766322825,0.9294690026774708
89.64035105444633,0.8790178699197567,0.8596187502916383,0.8614254041968425,0.017592465722914175,0.7484489746331001,0.9243678724871549
89.4417146348213,0.8770700310233959,0.8571481036258182,0.859817240510797,0.01725279051259887,0.7175610740392535,0.9215317334491138
89.64035105444633,0.8790178699197567,0.8596187502916383,0.8623033205072721,0.016714549412484625,0.6686168558832711,0.9163846606121719
89.4417146348213,0.8770700310233959,0.8571481036258182,0.8606103881900735,0.016459642833322352,0.6454372748047075,0.9143193535256591
89.64035105444633,0.8790178699197567,0.8596187502916383,0.863101063567755,0.015916806352001767,0.5960751819449441,0.9091304932183393
89.39187935393626,0.8765813437086417,0.8566102510944534,0.8566102510944534,0.01997109261418828,0.96474615716616,0.9463138047887817
89.58981691215038,0.8785223295342418,0.8590702607909511,0.8590702607909511,0.01945206874329075,0.9175494314609342,0.9413420876537453
89.39187935393626,0.8765813437086417,0.8566102510944534,0.8578046301681558,0.018776713540485934,0.8561369299410008,0.9354528820662658
89.58981691215038,0.8785223295342418,0.8590702607909511,0.8602715145505188,0.01825081498372305,0.8083150640807844,0.9304186509157303
89.39187935393626,0.8765813437086417,0.8566102510944534,0.8584719807480454,0.018109362960596287,0.7954523178559941,0.9293844208577651
89.58981691215038,0.8785223295342418,0.8590702607909511,0.8609427105001511,0.017579619034090666,0.7472807785584666,0.9243152223634985
89.39187935393626,0.8765813437086417,0.8566102510944534,0.859359665248077,0.01722167846056466,0.7147319421470226,0.9213123832868679
89.58981691215038,0.8785223295342418,0.8590702607909511,0.8618355146200202,0.016686814914221637,0.6660948572229268,0.9161966302299445
89.39187935393626,0.8765813437086417,0.8566102510944534,0.8601604103065503,0.016420933402091387,0.641917285627998,0.9140309176349655
89.58981691215038,0.8785223295342418,0.8590702607909511,0.8626408824437429,0.01588144709049888,0.5928598358696177,0.9088731280946136
89.34127025665325,0.8760850683106878,0.8560642342667449,0.8560642342667449,0.020020834043942837,0.9692693260374721,0.9468307442487226
89.538517029554,0.8780192802601531,0.8585137011705614,0.8585137011705614,0.019505579089591718,0.9224153216027327,0.9418938925945766
89.34127025665325,0.8760850683106878,0.8560642342667449,0.8573313245058302,0.018753743804857614,0.8540482084529184,0.9353086324902673
89.538517029554,0.8780192802601531,0.8585137011705614,0.8597880582616365,0.018231221998516567,0.8065334027731109,0.9303057007116144
89.34127025665325,0.8760850683106878,0.8560642342667449,0.8579927009233175,0.0180923673873703,0.793906848653657,0.9292944965103411
89.538517029554,0.8780192802601531,0.8585137011705614,0.8604532320070972,0.017566048253055855,0.746046738149115,0.9242570342492148
89.34127025665325,0.8760850683106878,0.8560642342667449,0.8588953754122661,0.01718969289842165,0.7118233788079595,0.9210861495257714
89.538517029554,0.8780192802601531,0.8585137011705614,0.8613610939958058,0.01665818626434723,0.6634915501089461,0.9160015154451979
89.34127025665325,0.8760850683106878,0.8560642342667449,0.8597040405873446,0.016381027723343156,0.6382885173197038,0.9137326633769458
89.538517029554,0.8780192802601531,0.8585137011705614,0.8621744110690704,0.015844869191082633,0.5895336746226666,0.90860572789657
89.38280726584475,0.8769477734638051,0.856884805822689,0.856884805822689,0.020062967641116147,0.9731006870600863,0.9573467674957984
89.56074107770957,0.878693508073311,0.8590953293201693,0.8590953293201693,0.019598178753141737,0.9308357453366332,0.9528937217543738
89.38280726584475,0.8769477734638051,0.856884805822689,0.8582617472413457,0.018686026222459406,0.8478904027313002,0.9448257390629198
89.56074107770957,0.878693508073311,0.8590953293201693,0.8604793898884355,0.018214118184875505,0.8049780908766956,0.9403079563083802
